CODE	FAMILY	TYPE	DOSE(mg)	DESCRIPTION
ADM/19382NEMIS	CCB	Nifedipine	30	Adipine XL 30mg tablets (Chiesi Ltd)
ADM/19383NEMIS	CCB	Nifedipine	60	Adipine Xl  M/R Tablets  60 mg
ADM/19822EMIS	CCB	Nifedipine	30	Adalat La  M/R Tablets  30 mg
ADM/19823EMIS	CCB	Nifedipine	60	Adalat La  M/R Tablets  60 mg
ADM/22255EMIS	CCB	Diltiazem	120	Adizem-Sr  M/R Capsules  120 mg
ADM/22256EMIS	CCB	Diltiazem	180	Adizem-Sr  M/R Capsules  180 mg
ADM/22257EMIS	CCB	Diltiazem	300	Adizem-Sr  M/R Capsules  300 mg
ADM/22258EMIS	CCB	Diltiazem	90	Adizem-Sr  M/R capsules  90 mg
ADM/24027EMIS	CCB	Diltiazem	120	Adizem-Xl  M/R Capsules  120 mg
ADM/24028EMIS	CCB	Diltiazem	180	Adizem-Xl  M/R Capsules  180 mg
ADM/24029EMIS	CCB	Diltiazem	240	Adizem-Xl  M/R Capsules  240 mg
ADM/24030EMIS	CCB	Diltiazem	300	Adizem-Xl  M/R Capsules  300 mg
ADM/27060EMIS	CCB	Nifedipine	20	Adipine Mr 20  M/R Tablets  20 mg
ADM/28056EMIS	CCB	Nifedipine	10	Adipine Mr 10  M/R Tablets  10 mg
ADM/4NEMIS	CCB	Nifedipine	20	Adalat La  M/R Tablets  20 mg
ADTA48	CCB	Nifedipine	20	Adalat Retard  Tablets  20 mg
ADTA8424EGTON	CCB	Nifedipine	10	Adalat Retard 10  Tablets  10 mg
ADTA9102HILLI	CCB	Diltiazem	120	Adizem-SR 120mg tablets (Napp Pharmaceuticals Ltd)
ADTA9935BRIDL	CCB	Diltiazem	120	Adizem Continus Tablets 120 mg
AMTA10145BRIDL	CCB	Amlodipine	5	Amlodipine Besilate  Tablets  5 mg
AMTA17004NEMIS	CCB	Amlodipine	5	Amlodipine 5mg tablets
AMTA17006NEMIS	CCB	Amlodipine	10	Amlodipine 10mg tablets
AMTA23851NEMIS	ARB	Valsartan	80	Amlodipine 5mg / Valsartan 80mg tablets
AMTA23851NEMIS	CCB	Amlodipine	5	Amlodipine 5mg / Valsartan 80mg tablets
AMTA23852NEMIS	ARB	Valsartan	160	Amlodipine And Valsartan  Tablets  5 mg + 160 mg
AMTA23852NEMIS	CCB	Amlodipine	5	Amlodipine And Valsartan  Tablets  5 mg + 160 mg
AMTA23853NEMIS	ARB	Valsartan	160	Amlodipine And Valsartan  Tablets  10 mg + 160 mg
AMTA23853NEMIS	CCB	Amlodipine	10	Amlodipine And Valsartan  Tablets  10 mg + 160 mg
AMTA9080EMIS	CCB	Amlodipine	10	Amlodipine Besilate  Tablets  10 mg
ATTA10910BRIDL	BB	Atenolol	25	Atenolol  Tablets  25 mg
ATTA230	BB	Atenolol	100	Atenolol  Tablets  100 mg
ATTA231	BB	Atenolol	50	Atenolol  Tablets  50 mg
BETA17553NEMIS	DIUR_THI	Bendroflumethiazide	2.5	Bendroflumethiazide  Tablets  2.5 mg
BITA10630BRIDL	BB	Bisoprolol	5	Bisoprolol Fumarate  Tablets  5 mg
BITA2332NEMIS	BB	Bisoprolol	1.25	Bisoprolol 1.25mg tablets
BITA2333NEMIS	BB	Bisoprolol	2.5	Bisoprolol 2.5mg tablets
BITA2334NEMIS	BB	Bisoprolol	3.75	Bisoprolol Fumarate  Tablets  3.75 mg
BITA2335NEMIS	BB	Bisoprolol	7.5	Bisoprolol Fumarate  Tablets  7.5 mg
CAM/6442NEMIS	ALPHA	Doxazosin	4	Cardura Xl  M/R Tablets  4 mg
